"Getaway Car",1,4,"05/26/23 - East Rutherford"
"Getaway Car",NA,NA,"02/17/24 - Melbourne (mashup with ""august"" and ""The Other Side Of The Door"")"
"Getaway Car",NA,NA,"06/08/24 - Edinburgh (mashup with ""The Bolter"")"
"Getaway Car",NA,NA,"07/14/24 - Milan (mashup with ""Out Of The Woods"")"
"Getaway Car",NA,NA,"08/20/24 - London (mashup with ""Death By A Thousand Cuts"")"
"King Of My Heart",1,2,"08/08/23 - Los Angeles"
"King Of My Heart",NA,NA,"05/30/24 - Madrid"
"King Of My Heart",NA,NA,"08/15/24 - London (mashup with ""The Alchemy"")"
"Dancing With Our Hands Tied",1,1,"11/19/23 - Rio de Janeiro"
"Dancing With Our Hands Tied",NA,NA,"06/29/24 - Dublin (mashup with ""The Albatross"")"
"Dress",1,3,"08/07/23 - Los Angeles"
"Dress",NA,NA,"03/02/24 - Singapore (mashup with ""I Don't Wanna Live Forever"")"
"Dress",NA,NA,"07/05/24 - Amsterdam (mashup with ""imgonnagetyouback"")"
"Dress",NA,NA,"10/27/24 - New Orleans (mashup with ""Afterglow"")"
"This Is Why We Can't Have Nice Things",1,2,"07/22/23 - Seattle"
"This Is Why We Can't Have Nice Things",NA,NA,"06/18/24 - Cardiff (mashup with ""I Forgot That You Existed"")"
"This Is Why We Can't Have Nice Things",NA,NA,"11/14/24 - Toronto (mashup with ""My Boy Only Breaks His Favorite Toys"")"
"Call It What You Want",1,3,"07/01/23 - Cincinnati"
"Call It What You Want",NA,NA,"03/04/24 - Singapore (mashup with ""This Love"")"
"Call It What You Want",NA,NA,"07/27/24 - Munich (mashup with ""ivy"")"
"Call It What You Want",NA,NA,"10/25/24 - New Orleans (mashup with ""Our Song"")"
"New Year's Day",1,3,"08/09/23 - Los Angeles"
"New Year's Day",NA,NA,"02/24/24 - Sydney (mashup with ""peace"")"
"New Year's Day",NA,NA,"08/01/24 - Warsaw (mashup with ""Suburban Legends"")"
"New Year's Day",NA,NA,"12/08/24 - Vancouver (mashup with ""Long Live"" and ""The Manuscript"")"
"I Forgot That You Existed",1,1,"08/24/23 - Mexico City"
"I Forgot That You Existed",NA,NA,"06/18/24 - Cardiff (mashup with ""This Is Why We Can't Have Nice Things"")"
"The Archer",0,2,"07/04/24 - Amsterdam (mashup with ""Question...?"")"
"The Archer",NA,NA,"08/19/24 - London (mashup with ""You're On Your Own, Kid"")"
"I Think He Knows",1,2,"05/21/23 - Foxborough"
"I Think He Knows",NA,NA,"05/17/24 - Stockholm (mashup with ""Gorgeous"")"
"I Think He Knows",NA,NA,"08/03/24 - Warsaw (mashup with ""Today Was A Fairytale"")"
"Paper Rings",1,1,"06/23/23 - Minneapolis"
"Paper Rings",NA,NA,"07/19/24 - Gelsenkirchen (mashup with ""Stay Stay Stay"")"
"Cornelia Street",1,2,"8/26/23 - Mexico City"
"Cornelia Street",NA,NA,"06/13/24 - Liverpool (mashup with ""Maroon"")"
"Cornelia Street",NA,NA,"11/03/24 - Indianapolis (mashup with ""The Bolter"")"
"Death By A Thousand Cuts",2,4,"04/01/23 - Arlington"
"Death By A Thousand Cuts",NA,NA,"08/05/23 - Los Angeles"
"Death By A Thousand Cuts",NA,NA,"03/07/24 - Singapore (mashup with ""Babe"")"
"Death By A Thousand Cuts",NA,NA,"06/21/24 - London (mashup with ""Hits Different"")"
"Death By A Thousand Cuts",NA,NA,"08/20/24 - London (mashup with ""Getaway Car"")"
"Death By A Thousand Cuts",NA,NA,"11/03/24 - Indianapolis (mashup with ""The Great War"")"
"London Boy",0,1,"08/16/24 - London"
"Soon You'll Get Better",0,0,NA
"False God",1,3,"05/27/23 - East Rutherford"
"False God",NA,NA,"03/08/24 - Singapore (mashup with """"Slut!"""")"
"False God",NA,NA,"07/17/24 - Gelsenkirchen (mashup with """"Slut!"""")"
"False God",NA,NA,"11/14/24 - Toronto ""mashup with ""'tis the damn season"")"
"Afterglow",1,1,"08/27/23 - Mexico City"
"Afterglow",NA,NA,"10/27/24 - New Orleans (mashup with ""Dress"")"
"ME!",1,0,"11/20/23 - Rio de Janeiro"
"It's Nice To Have A Friend",0,1,"06/09/24 - Edinburgh (mashup with ""dorothea"")"
